arm,video,n_questions,gold_at_4_rate,mIoP,mIoU,delta_gold_at_4_vs_A,delta_mIoP_vs_A,delta_mIoU_vs_A
A,2623954636,11,0.18181818181818182,0.03322314049586772,0.0224827996324137,0.0,0.0,0.0
A,2669452260,3,0.3333333333333333,0.3552348484848486,0.2964365471699178,0.0,0.0,0.0
A,2679130168,8,0.875,0.4627947443181818,0.3192327042688265,0.0,0.0,0.0
A,2679328607,7,1.0,0.30055194805194796,0.2023999290769322,0.0,0.0,0.0
A,2696280239,7,0.5714285714285714,0.28593831168831174,0.21469223106841093,0.0,0.0,0.0
A,2697214342,2,0.5,0.5,0.09777777777777774,0.0,0.0,0.0
A,2697261300,5,0.6,0.45935454545454546,0.3094786152294081,0.0,0.0,0.0
A,2705374471,2,1.0,0.33147775942080837,0.3314777594208083,0.0,0.0,0.0
A,2712662377,4,1.0,0.4447386363636363,0.36304832427663924,0.0,0.0,0.0
A,2717347132,4,0.75,0.636125,0.24577551986058954,0.0,0.0,0.0
A,2726497009,8,0.5,0.09375000000000006,0.09375000000000006,0.0,0.0,0.0
A,2731071928,1,0.0,0.31977272727272765,0.16185436558150268,0.0,0.0,0.0
A,2735019707,7,0.7142857142857143,0.3679177489177489,0.2891044334658649,0.0,0.0,0.0
A,2736413196,7,0.7142857142857143,0.3253571428571429,0.059854010274641586,0.0,0.0,0.0
A,2771402761,4,0.0,0.0,0.0,0.0,0.0,0.0
A,2782307049,4,0.5,0.25,0.12359550561797758,0.0,0.0,0.0
A,2782658657,7,0.7142857142857143,0.38101623376623384,0.29008827018435535,0.0,0.0,0.0
A,2793260225,6,0.6666666666666666,0.4972624292073751,0.30513182471093275,0.0,0.0,0.0
A,2793806282,8,0.25,0.15784090909090903,0.06959116035759072,0.0,0.0,0.0
A,2796821016,5,0.0,0.0,0.0,0.0,0.0,0.0
A,2809330695,6,0.3333333333333333,0.3133238636363637,0.26752320354248676,0.0,0.0,0.0
A,2821788355,6,0.5,0.4267045454545455,0.22211245809212957,0.0,0.0,0.0
A,2824317018,7,0.2857142857142857,0.21175324675324667,0.07106359120394122,0.0,0.0,0.0
A,2829462646,1,1.0,0.3004772727272705,0.12154000312560241,0.0,0.0,0.0
A,2833209794,4,0.5,0.11554926138259472,0.09574582234099309,0.0,0.0,0.0
A,2834146886,9,0.5555555555555556,0.36176094276094267,0.25495098120721077,0.0,0.0,0.0
A,2854886555,5,0.6,0.5949818181818183,0.39090812929944924,0.0,0.0,0.0
A,2868183184,9,0.5555555555555556,0.42151515151515156,0.12631596984579924,0.0,0.0,0.0
A,2871995580,6,0.3333333333333333,0.15990808326574749,0.11949494949494949,0.0,0.0,0.0
A,2877270840,4,0.75,0.3079545454545454,0.2048403193612774,0.0,0.0,0.0
A,2925298951,7,0.42857142857142855,0.20011985182025432,0.13807389179329801,0.0,0.0,0.0
A,2930782930,7,0.2857142857142857,0.22424025974025974,0.09408478340345136,0.0,0.0,0.0
A,2932897373,4,0.75,0.6969504447268107,0.49424774202410793,0.0,0.0,0.0
A,2957808913,6,0.6666666666666666,0.25385227272727273,0.17174212292174998,0.0,0.0,0.0
A,2971556305,2,0.0,0.0,0.0,0.0,0.0,0.0
A,2973331780,4,1.0,0.7455454545454546,0.45541622284518507,0.0,0.0,0.0
A,2976913210,4,0.75,0.0,0.0,0.0,0.0,0.0
A,2977504625,3,0.3333333333333333,0.1325757575757576,0.06306306306306307,0.0,0.0,0.0
A,2978295992,2,0.0,0.0,0.0,0.0,0.0,0.0
A,2984974097,4,0.75,0.33687500000000004,0.22114331862088915,0.0,0.0,0.0
A,2987766537,2,0.0,0.0011363636363636125,0.0006675567423230833,0.0,0.0,0.0
A,2990321092,3,0.6666666666666666,0.3908181818181819,0.3061281888564131,0.0,0.0,0.0
